head,relation,tail,mode
n02450829,_hypernym,n02450034,train
n02241008,_hypernym,n02236896,train
n12707781,_hyponym,n12709901,train
n02952109,_part_of,n03888257,train
n02295064,_hyponym,n02296276,train
n09927451,_hyponym,n10470779,train
n12697514,_hypernym,n13104059,train
n07746910,_part_of,n11771924,train
n09632518,_hyponym,n10700105,train
n04170515,_part_of,n03579982,train
n13121104,_hyponym,n12476510,train
n04372370,_hyponym,n04169437,train
n09613191,_hypernym,n00007846,train
n07596684,_hyponym,n07597365,train
n02999410,_part_of,n03001282,train
n04392764,_part_of,n04392526,train
n03786313,_hypernym,n03679712,train
n03804744,_hypernym,n03323703,train
n07672914,_hypernym,n07856270,train
n01517565,_hyponym,n01519873,train
n03241093,_hypernym,n04091097,train
n01998183,_hypernym,n01974773,train
n04341686,_hyponym,n02914991,train
n03497657,_hyponym,n03325941,train
n11965627,_hypernym,n11672400,train
n07719839,_part_of,n11832480,train
n12205694,_hyponym,n12437513,train
n03409920,_hypernym,n02729965,train
n06263369,_hyponym,n06267145,train
n01525720,_hyponym,n01538955,train
n12205694,_hyponym,n12850906,train
n03033362,_has_part,n04211001,train
n03176386,_hypernym,n03175604,train
n01968315,_hyponym,n01971094,train
n13104059,_hyponym,n12185254,train
n01577659,_hypernym,n01576695,train
n11800236,_hypernym,n13125117,train
n15089645,_hypernym,n15089258,train
n03467984,_hyponym,n02950482,train
n02729965,_hyponym,n03777126,train
n01681940,_hypernym,n01676755,train
n02554730,_hyponym,n02590702,train
n13221529,_hypernym,n11547562,train
n09625401,_hypernym,n00007846,train
n02715513,_hypernym,n04105893,train
n07858595,_hyponym,n07859583,train
n12492106,_hypernym,n12491826,train
n04550676,_hypernym,n03763727,train
n02080146,_hypernym,n02079389,train
n07720277,_hypernym,n07709333,train
n01542786,_hypernym,n01525720,train
n03202940,_hypernym,n04494204,train
n03102859,_hypernym,n03738472,train
n03948950,_part_of,n04062179,train
n07809368,_hyponym,n07822687,train
n02958343,_hyponym,n04459122,train
n02911332,_hypernym,n03997484,train
n13109733,_hyponym,n12195391,train
n09937056,_hyponym,n09936892,train
n02402425,_hyponym,n02403231,train
n03791235,_has_part,n03579982,train
n03088707,_hyponym,n04594489,train
n02626265,_hypernym,n02625612,train
n00480508,_hypernym,n00479076,train
n01982650,_hyponym,n01983048,train
n04608567,_hyponym,n03906997,train
n12269241,_hypernym,n12268246,train
n07710007,_hyponym,n07713074,train
n07763483,_part_of,n12667582,train
n11661372,_hyponym,n11662128,train
n04105438,_part_of,n02958343,train
n04341686,_hyponym,n03297735,train
n07713395,_hypernym,n07707451,train
n03488188,_hypernym,n04140064,train
n03664943,_hypernym,n02755352,train
n03733925,_hyponym,n04039848,train
n03351262,_hypernym,n04530566,train
n13201969,_hypernym,n11545714,train
n04552348,_hyponym,n02867715,train
n02683558,_part_of,n03321103,train
n02186153,_hypernym,n01385330,train
n04472243,_has_part,n03054901,train
n02950256,_derivationally_related_form,n09811852,train
n04330340,_hyponym,n03425595,train
n12171966,_has_part,n12172364,train
n01792640,_hypernym,n01791625,train
n04137444,_has_part,n04257790,train
n13107891,_hypernym,n13104059,train
n07819480,_hypernym,n07810907,train
n04105893,_hyponym,n03478907,train
n07812790,_hypernym,n07809368,train
n09976728,_hypernym,n00007846,train
n07695965,_hyponym,n07697100,train
n03088707,_hyponym,n04211001,train
n07736371,_hypernym,n07709333,train
n04125853,_hyponym,n04162706,train
n07461050,_hypernym,n00450700,train
n12506181,_hypernym,n13104059,train
n02974697,_hyponym,n03619650,train
n12425281,_hyponym,n12446519,train
n03699975,_derivationally_related_form,n10279018,train
n11783920,_hypernym,n13083023,train
n10266328,_hypernym,n00007846,train
n03091374,_hyponym,n04408871,train
n03664675,_hyponym,n04585745,train
n03385557,_has_part,n04051825,train
n12925179,_hypernym,n12205694,train
n02559383,_hypernym,n02554730,train
n02041085,_hyponym,n02041246,train
n12612170,_hypernym,n13122364,train
n03459775,_part_of,n02958343,train
n02185167,_hypernym,n02183857,train
n10777299,_hypernym,n10630188,train
n03211117,_hypernym,n03277771,train
n09974648,_hyponym,n10773665,train
n02100399,_hypernym,n02098550,train
n01604330,_hyponym,n01616318,train
n12405714,_hyponym,n12407890,train
n02171869,_hyponym,n02173373,train
n10129825,_hyponym,n09936825,train
n04449966,_hypernym,n04565375,train
n12470512,_hypernym,n13100677,train
n03746330,_hyponym,n02887489,train
n02428349,_hypernym,n02419796,train
n01387065,_hyponym,n01389507,train
n12098827,_hypernym,n13118707,train
n10522324,_hyponym,n10419047,train
n04110955,_has_part,n04111190,train
n02213107,_hypernym,n02212602,train
n12708293,_hypernym,n12707781,train
n00479887,_hypernym,n00479076,train
n03036469,_hyponym,n03036341,train
n02985137,_part_of,n04404412,train
n11887750,_hypernym,n11669921,train
n00523513,_hyponym,n00449295,train
n03419014,_has_part,n03972524,train
n01389507,_hyponym,n01390123,train
n01622779,_hypernym,n01621127,train
n10787470,_hyponym,n10613996,train
n10095420,_hypernym,n10129825,train
n01317541,_hyponym,n02122580,train
n04059157,_hypernym,n03051540,train
n10575787,_hypernym,n00007846,train
n07720615,_hypernym,n07720442,train
n02449183,_hypernym,n02441326,train
n12713063,_has_part,n07749446,train
n03340723,_part_of,n03470387,train
n02000954,_hyponym,n02018795,train
n07601809,_hypernym,n07597365,train
n07724943,_hypernym,n07708798,train
n12794367,_hypernym,n12793015,train
n04309348,_has_part,n04309049,train
n02430045,_hypernym,n02399000,train
n02096756,_hypernym,n02092468,train
n04257986,_part_of,n04257790,train
n00007846,_hyponym,n10753061,train
n10292316,_hypernym,n10284064,train
n02226429,_hypernym,n02226183,train
n02822865,_hypernym,n04060904,train
n00007846,_hyponym,n10299700,train
n03902220,_hypernym,n03033986,train
n02512938,_hyponym,n02538985,train
n07911371,_hyponym,n07912211,train
n03288003,_hyponym,n02981911,train
n07705931,_hyponym,n07762244,train
n12041446,_hyponym,n12078172,train
n03620052,_hyponym,n03862676,train
n02323902,_hypernym,n02323449,train
n03161450,_hypernym,n03183080,train
n02329401,_hyponym,n02350989,train
n02079389,_hyponym,n02080415,train
n01795088,_hyponym,n01795545,train
n02536864,_hypernym,n02534734,train
n03879705,_part_of,n02862048,train
n13066129,_hyponym,n13068917,train
n07750146,_hypernym,n07747055,train
n03385557,_hyponym,n03878963,train
n02047614,_hypernym,n02021795,train
n01501160,_hypernym,n01495701,train
n04068441,_hypernym,n03956922,train
n12205694,_hyponym,n12859986,train
n12634429,_hyponym,n12634734,train
n01844917,_hyponym,n02021795,train
n03294048,_hyponym,n04077734,train
n02431122,_hypernym,n02430045,train
n03794136,_hypernym,n04447443,train
n03834604,_hyponym,n03553248,train
n03272383,_hypernym,n03636248,train
n02889425,_hyponym,n03483637,train
n13104059,_hyponym,n12565912,train
n03446268,_synset_domain_topic_of,n00464894,train
n03295928,_part_of,n04347754,train
n13100677,_hyponym,n12157769,train
n04172342,_hypernym,n04467307,train
n02008041,_hyponym,n02010453,train
n04226537,_part_of,n04194289,train
n02731629,_has_part,n03868863,train
n01517966,_hypernym,n01503061,train
n10055297,_hypernym,n10370381,train
n02553028,_hypernym,n02642107,train
n04058239,_hyponym,n02988679,train
n02860847,_hypernym,n04235291,train
n09827363,_hypernym,n10129825,train
n09937056,_hypernym,n10665698,train
n13188767,_hypernym,n13188096,train
n10042845,_hypernym,n09606527,train
n07561112,_derivationally_related_form,n10012484,train
n06266417,_hypernym,n06263609,train
n01639765,_hyponym,n01645466,train
n04105893,_hyponym,n03175081,train
n02752496,_hypernym,n04254777,train
n03887185,_hypernym,n03323703,train
n10143172,_hyponym,n10142747,train
n12205694,_hyponym,n12939104,train
n01806567,_hyponym,n01804921,train
n03614532,_hyponym,n04376400,train
n01886756,_hyponym,n02502514,train
n02686568,_has_part,n02932019,train
n02594250,_hyponym,n02596381,train
n04960582,_hypernym,n04960277,train
n10340312,_hyponym,n10415037,train
n03854065,_hypernym,n03614532,train
n07900406,_hypernym,n07891726,train
n04202417,_hyponym,n02833140,train
n02287004,_hypernym,n02283201,train
n12767648,_hypernym,n13100156,train
n13100156,_hyponym,n11767354,train
n07767847,_part_of,n12651611,train
n13109733,_hyponym,n12927494,train
n09206985,_hypernym,n09437454,train
n00454624,_hypernym,n00453935,train
n03278248,_hyponym,n03916720,train
n02023341,_hyponym,n02023992,train
n04554684,_hypernym,n04580493,train
n12205694,_hyponym,n12794985,train
n03079741,_hyponym,n03061505,train
n12835331,_hypernym,n12205694,train
n03579982,_hyponym,n03859000,train
n02405577,_hypernym,n02402425,train
n12586298,_hypernym,n12582231,train
n04361095,_hypernym,n04341686,train
n04194289,_has_part,n03512911,train
n04050600,_hypernym,n03243218,train
n13108841,_hyponym,n11630017,train
n00479076,_hyponym,n00479734,train
n02950632,_hyponym,n04519887,train
n12205694,_hyponym,n11899921,train
n03051540,_hyponym,n03490324,train
n07570720,_hyponym,n07803895,train
n12904314,_hypernym,n12205694,train
n04555897,_has_part,n03142679,train
n03094503,_hyponym,n04139859,train
n04157320,_hyponym,n04306847,train
n03489162,_hyponym,n03336839,train
n07682316,_hypernym,n07679356,train
n03815278,_part_of,n03236735,train
n10712229,_hypernym,n09632274,train
n04588739,_part_of,n03085602,train
n01674216,_hyponym,n01674464,train
n02239528,_hypernym,n02236896,train
n01621635,_derivationally_related_form,n01621127,train
n11979715,_hypernym,n11978233,train
n03339296,_hyponym,n03976268,train
n01754876,_hyponym,n01756508,train
n02554730,_hyponym,n02620578,train
n10415037,_hypernym,n10340312,train
n12527738,_hyponym,n12528549,train
n03042829,_part_of,n02865665,train
n03792048,_hyponym,n03282060,train
n07712382,_hyponym,n07712559,train
n10438172,_hyponym,n10688356,train
n04008385,_part_of,n03316406,train
n03358726,_hypernym,n02942699,train
n03405725,_hypernym,n03405265,train
n01547832,_hypernym,n01546921,train
n10564098,_hypernym,n09765278,train
n02648625,_hyponym,n02649218,train
n03788195,_hypernym,n03953416,train
n03682487,_part_of,n03221720,train
n12832315,_hypernym,n13083023,train
n13100677,_hyponym,n11713164,train
n10341955,_hypernym,n00007846,train
n02761392,_hypernym,n03738472,train
n04232153,_hypernym,n02954340,train
n03544360,_hyponym,n03118969,train
n03736970,_hyponym,n04359335,train
n03913343,_hypernym,n04494204,train
n04432662,_hypernym,n03309808,train
n04169437,_hyponym,n03186818,train
n01606177,_hypernym,n01605630,train
n04959672,_hyponym,n04970059,train
n03600285,_hypernym,n04489008,train
n02528163,_hyponym,n02549989,train
n03656484,_hypernym,n03851341,train
n12578916,_part_of,n12578626,train
n10317007,_hyponym,n09770179,train
n07811416,_hypernym,n07809368,train
n01407798,_hypernym,n01397114,train
n03542333,_has_part,n03542860,train
n12041446,_hyponym,n12061380,train
n01886756,_hyponym,n02082056,train
n10305635,_hypernym,n10305802,train
n03085333,_hyponym,n03681477,train
n13108131,_hyponym,n12501202,train
n02022684,_hyponym,n02026059,train
n02165877,_hypernym,n02165456,train
n03179701,_has_part,n03233905,train
n02958343,_member_of_domain_topic,n02770830,train
n03132261,_hypernym,n04285146,train
n09821831,_hypernym,n09815790,train
n02604157,_hypernym,n02554730,train
n02166567,_hypernym,n02165456,train
n04034262,_hypernym,n02822220,train
n03733925,_hyponym,n03553486,train
n10548537,_hypernym,n10548681,train
n04543772,_part_of,n04543158,train
n07736692,_hypernym,n07709333,train
n04061969,_hyponym,n02731398,train
n04262678,_hypernym,n04063868,train
n00441824,_hyponym,n00445055,train
n02016358,_hyponym,n02016816,train
n07920989,_hypernym,n07809368,train
n12246232,_hyponym,n12248574,train
n01739647,_hypernym,n01727646,train
n12205694,_hyponym,n12821505,train
n11545714,_hyponym,n13199717,train
n02394477,_hyponym,n02437136,train
n03551084,_hypernym,n02891188,train
n04541662,_part_of,n02704949,train
n07705931,_hyponym,n07763629,train
n01621127,_hyponym,n01623880,train
n02206270,_hyponym,n02212062,train
n11877860,_hypernym,n11877473,train
n02055658,_hyponym,n02055803,train
n12205694,_hyponym,n11953339,train
n07888465,_hypernym,n07889510,train
n01735189,_hypernym,n01727646,train
n05453657,_hypernym,n05449959,train
n04451818,_hyponym,n03075097,train
n02070430,_hypernym,n02068974,train
n12695144,_hyponym,n12699922,train
n13100677,_hyponym,n12542240,train
n04086794,_hypernym,n04079933,train
n12334891,_hyponym,n12335664,train
n00015388,_hyponym,n02152991,train
n03656484,_hyponym,n03309465,train
n12506341,_hypernym,n12506181,train
n03352628,_hypernym,n03819994,train
n01663401,_hyponym,n01664065,train
n12447121,_hypernym,n12446519,train
n01321230,_hyponym,n02376791,train
n07705931,_hyponym,n07754684,train
n04014297,_hyponym,n03725035,train
n02002075,_hypernym,n02000954,train
n12931542,_hypernym,n12205694,train
n12805146,_hyponym,n12805561,train
n11672400,_hyponym,n12027658,train
n07683786,_hypernym,n07679356,train
n11672400,_hyponym,n12937130,train
n04081844,_hyponym,n02784998,train
n12317296,_hypernym,n13109733,train
n12711817,_hypernym,n12711596,train
n02928413,_hypernym,n03600977,train
n03736970,_hyponym,n03948950,train
n02901481,_hypernym,n03000247,train
n11545714,_hyponym,n13195761,train
n07828987,_hypernym,n07810907,train
n01613294,_hyponym,n01614038,train
n07573696,_has_part,n07556970,train
n07908647,_hypernym,n07907943,train
n02880546,_has_part,n03341297,train
n09853881,_hypernym,n10200781,train
n02531625,_hypernym,n02529772,train
n12842302,_hypernym,n12205694,train
n02089555,_hypernym,n02087551,train
n02566489,_hypernym,n02566109,train
n07566340,_hyponym,n07566863,train
n01589718,_hypernym,n01589286,train
n02755352,_hypernym,n03091374,train
n03183080,_hyponym,n03141702,train
n03566329,_hyponym,n04051549,train
n10012484,_derivationally_related_form,n07561112,train
n12281241,_hyponym,n12281974,train
n07764630,_hypernym,n07705931,train
n02164464,_hyponym,n02168699,train
n02537085,_hypernym,n02512938,train
n09929298,_hypernym,n09820263,train
n03151077,_hyponym,n04418357,train
n01676755,_hyponym,n01681940,train
n02040505,_hyponym,n02041085,train
n00007846,_hyponym,n10726031,train
n12786464,_hypernym,n12785724,train
n02839910,_hyponym,n02747177,train
n04157099,_hypernym,n04105893,train
n11915214,_hyponym,n11923174,train
n10577284,_hyponym,n10190516,train
n01447331,_hypernym,n01446760,train
n04468005,_member_of_domain_topic,n10403876,train
n10759151,_hypernym,n09632518,train
n03546340,_hyponym,n03679384,train
n12587803,_has_part,n07772935,train
n02076196,_hypernym,n02075927,train
n03404900,_hypernym,n03673767,train
n04368496,_hypernym,n03589791,train
n07802417,_hyponym,n07803093,train
n07565259,_hypernym,n07560652,train
n03965456,_has_part,n03378005,train
n02299039,_hypernym,n02298541,train
n03309808,_hyponym,n03846100,train
n03685307,_hypernym,n03259505,train
n03503997,_hypernym,n03665366,train
n02018207,_hypernym,n02018027,train
n02519686,_hyponym,n02519862,train
n13109733,_hyponym,n12768369,train
n00475787,_hypernym,n00471613,train
n12205694,_hyponym,n12878784,train
n02238887,_hypernym,n02236896,train
n03087643,_hypernym,n02727825,train
n02757462,_hyponym,n04077430,train
n00463246,_hyponym,n00464651,train
n09923418,_hyponym,n10435251,train
n13108841,_hyponym,n11630489,train
n03079230,_hyponym,n02988679,train
n02768433,_part_of,n03819595,train
n12647376,_hyponym,n12647560,train
n03843555,_hypernym,n03339643,train
n07705931,_hyponym,n07767847,train
n03305522,_hyponym,n02866578,train
n12020507,_hypernym,n11669921,train
n03322570,_hypernym,n02913152,train
n03563967,_hyponym,n04285622,train
n01754876,_hypernym,n01753959,train
n04018399,_hypernym,n04395875,train
n04127904,_hyponym,n03381776,train
n04209811,_synset_domain_topic_of,n02958343,train
n07749446,_part_of,n12713063,train
n04171629,_hypernym,n04171459,train
n03594945,_hypernym,n02958343,train
n01854838,_hypernym,n01854415,train
n04414476,_hypernym,n04459610,train
n02176747,_hypernym,n02176261,train
n01958038,_hyponym,n01958435,train
n04402984,_hypernym,n04594489,train
n12285512,_hypernym,n12284262,train
n02760429,_hyponym,n02760855,train
n02083346,_hyponym,n02117135,train
n10340312,_hyponym,n09837459,train
n02274822,_hyponym,n02276749,train
n04015204,_hyponym,n02752615,train
n12843970,_hypernym,n12205694,train
n03044671,_hypernym,n03604843,train
n03885535,_hypernym,n04329477,train
n09943239,_hyponym,n10667709,train
n04534520,_hypernym,n04391838,train
n03489162,_hyponym,n04489817,train
n02995345,_has_part,n03125057,train
n01940736,_hypernym,n01905661,train
n12430675,_hypernym,n12430198,train
n04127633,_hypernym,n04519153,train
n12800586,_hypernym,n12205694,train
n01488918,_hyponym,n01490112,train
n04560113,_hypernym,n03508101,train
n13183489,_hypernym,n11545714,train
n04411264,_hypernym,n04191595,train
n03762982,_hypernym,n03540595,train
n03120198,_part_of,n02913152,train
n02528163,_hyponym,n01457852,train
n02062017,_hyponym,n02075927,train
n02600503,_hypernym,n02600298,train
n02480153,_hyponym,n02481823,train
n01699040,_hypernym,n01696633,train
n09629246,_hypernym,n00007846,train
n02943241,_part_of,n02942699,train
n13135832,_hyponym,n12592839,train
n00007846,_hyponym,n09833997,train
n03859280,_hyponym,n04187547,train
n02659808,_hypernym,n02658079,train
n02690373,_hypernym,n02691156,train
n12539306,_hyponym,n12541157,train
n03032252,_hypernym,n04417809,train
n07557434,_hyponym,n07869937,train
n07556872,_hypernym,n07556637,train
n00007846,_hyponym,n09996481,train
n03479397,_hypernym,n03224893,train
n03308152,_hypernym,n03574816,train
n11873182,_hypernym,n13125117,train
n12633638,_hyponym,n12634211,train
n04591713,_has_part,n03108853,train
n10746931,_hypernym,n09820263,train
n03786194,_hypernym,n02756098,train
n07914006,_hypernym,n07881800,train
n02769748,_derivationally_related_form,n09830629,train
n00471613,_member_of_domain_topic,n09930257,train
n04244997,_hyponym,n02951358,train
n07566340,_hyponym,n07572957,train
n07679356,_hyponym,n07685730,train
n11991777,_hypernym,n11991263,train
n12205694,_hyponym,n11720353,train
n04172107,_hypernym,n03259505,train
n03183080,_hyponym,n04294212,train
n02821627,_hyponym,n03542860,train
n01712008,_hyponym,n01713764,train
n02171869,_hyponym,n02175569,train
n11747468,_hyponym,n12575322,train
n01821203,_hyponym,n01821869,train
n07754279,_part_of,n12384375,train
n07747055,_hyponym,n07749582,train
n12523141,_hypernym,n13104059,train
n00443231,_hypernym,n00442115,train
n09896170,_hypernym,n10400998,train
n10249459,_hyponym,n10317500,train
n11877473,_hyponym,n11877860,train
n03928589,_hypernym,n02677718,train
n12117017,_hypernym,n12102133,train
n13118707,_hyponym,n11826569,train
n03467984,_has_part,n03470387,train
n12696492,_hypernym,n13104059,train
n12425281,_hyponym,n12441958,train
n02305407,_hyponym,n02305929,train
n02704949,_hypernym,n04295881,train
n10213429,_hypernym,n00007846,train
n10273064,_hyponym,n10097477,train
n11545714,_hyponym,n13188096,train
n04341686,_hyponym,n04295881,train
n10053808,_hyponym,n10644598,train
n03472232,_synset_domain_topic_of,n00433802,train
n11748002,_hyponym,n12561594,train
n02301935,_hypernym,n02301452,train
n03051540,_hyponym,n02728440,train
n02274822,_hyponym,n02278839,train
n12201938,_hypernym,n13104059,train
n07607707,_hypernym,n07597365,train
n02810471,_has_part,n04413151,train
n01598588,_hyponym,n01598988,train
n07881800,_hyponym,n07884567,train
n00007846,_hyponym,n10661216,train
n01639765,_hyponym,n01642943,train
n03010473,_part_of,n03791235,train
n01881171,_hyponym,n01882125,train
